location_id,name,plainName,cp,lat,lon,createdAt,updatedAt
162,Benejúzar,benejuzar,3390,38.083525,-0.836494,2/21/2016 11:21:57,2/21/2016 11:21:57
163,Benferri,benferri,3316,38.142915,-0.961324,2/21/2016 11:21:57,2/21/2016 11:21:57
164,Beniarbeig,beniarbeig,3778,38.822245,-0.001569,2/21/2016 11:21:57,2/21/2016 11:21:57
165,Beniardá,beniarda,3517,38.682935,-0.216199,2/21/2016 11:21:57,2/21/2016 11:21:57
166,Beniarrés,beniarres,3850,38.82006,-0.376269,2/21/2016 11:21:57,2/21/2016 11:21:57
167,Benidoleig,benidoleig,3759,38.79248,-0.031434,2/21/2016 11:21:57,2/21/2016 11:21:57
168,Benidorm,benidorm,3501,38.543745,-0.131849,2/21/2016 11:21:57,2/21/2016 11:21:57
169,Benifallim,benifallim,3816,38.66467,-0.399073,2/21/2016 11:21:57,2/21/2016 11:21:57
170,Benifato,benifato,3517,38.673927,-0.229272,2/21/2016 11:21:57,2/21/2016 11:21:57
171,Benigembla,benigembla,3794,38.75392,-0.111689,2/21/2016 11:21:57,2/21/2016 11:21:57
172,Benijófar,benijofar,3178,38.07928,-0.737864,2/21/2016 11:21:57,2/21/2016 11:21:57
173,Benilloba,benilloba,3810,38.69887,-0.390614,2/21/2016 11:21:57,2/21/2016 11:21:57
174,Benillup,benillup,3827,38.75439,-0.378174,2/21/2016 11:21:57,2/21/2016 11:21:57
175,Benimantell,benimantell,3516,38.676075,-0.211044,2/21/2016 11:21:57,2/21/2016 11:21:57
176,Benimarfull,benimarfull,3827,38.776165,-0.391424,2/21/2016 11:21:57,2/21/2016 11:21:57
177,Benimassot,benimassot,3812,38.748518,-0.290046,2/21/2016 11:21:57,2/21/2016 11:21:57
178,Benimeli,benimeli,3769,38.822792,-0.042057,2/21/2016 11:21:57,2/21/2016 11:21:57
179,Benissa,benissa,3720,38.714545,0.05115,2/21/2016 11:21:57,2/21/2016 11:21:57
180,Benitachell,benitachell,3726,38.73165,0.14135,2/21/2016 11:21:57,2/21/2016 11:21:57
181,Biar,biar,3410,38.63269,-0.768279,2/21/2016 11:21:57,2/21/2016 11:21:57
182,Bigastro,bigastro,3380,38.064495,-0.897764,2/21/2016 11:21:57,2/21/2016 11:21:57
183,Bolulla,bolulla,3518,38.67632,-0.110939,2/21/2016 11:21:57,2/21/2016 11:21:57
184,Busot,busot,3111,38.480895,-0.419634,2/21/2016 11:21:57,2/21/2016 11:21:57
185,Callosa de Segura,callosa-de-segura,3360,38.125675,-0.877669,2/21/2016 11:21:57,2/21/2016 11:21:57
186,Callosa d En Sarrià,callosa-den-sarria,3510,38.65019,-0.121189,2/21/2016 11:21:57,2/21/2016 11:21:57
187,Calp,calp,3710,38.644755,0.047855,2/21/2016 11:21:57,2/21/2016 11:21:57
188,Campello,campello,3560,38.427189,-0.39063,2/21/2016 11:21:57,2/21/2016 11:21:57
189,Campo de Mirra,campo-de-mirra,3469,38.68782,-0.77989,2/21/2016 11:21:57,2/21/2016 11:21:57
190,Cañada,canada,3409,38.673892,-0.81441,2/21/2016 11:21:57,2/21/2016 11:21:57
191,Castalla,castalla,3420,38.595949,-0.669735,2/21/2016 11:21:57,2/21/2016 11:21:57
192,Castell de Castells,castell-de-castells,3793,38.722788,-0.19557,2/21/2016 11:21:57,2/21/2016 11:21:57
193,Castell de Guadalest,castell-de-guadalest,3517,38.678073,-0.198784,2/21/2016 11:21:57,2/21/2016 11:21:57
194,Catral,catral,3158,38.16314,-0.802174,2/21/2016 11:21:57,2/21/2016 11:21:57
195,Cocentaina,cocentaina,3820,38.751504,-0.438763,2/21/2016 11:21:57,2/21/2016 11:21:57
196,Confrides,confrides,3517,38.68466,-0.271814,2/21/2016 11:21:57,2/21/2016 11:21:57
197,Cox,cox,3350,38.14111,-0.887539,2/21/2016 11:21:57,2/21/2016 11:21:57
198,Crevillent,crevillent,3330,38.24631,-0.805269,2/21/2016 11:21:57,2/21/2016 11:21:57
199,Daya Nueva,daya-nueva,3159,38.114585,-0.762664,2/21/2016 11:21:57,2/21/2016 11:21:57
200,Daya Vieja,daya-vieja,3177,38.104955,-0.738344,2/21/2016 11:21:57,2/21/2016 11:21:57
201,Dénia,denia,3700,38.842815,0.11144,2/21/2016 11:21:57,2/21/2016 11:21:57
202,Dolores,dolores,3150,38.136708,-0.769866,2/21/2016 11:21:57,2/21/2016 11:21:57
203,Elx,elx,3201,38.26348,-0.699524,2/21/2016 11:21:57,2/21/2016 11:21:57
204,Elda,elda,3600,38.475315,-0.796104,2/21/2016 11:21:57,2/21/2016 11:21:57
205,Facheca,facheca,3813,38.734791,-0.26882,2/21/2016 11:21:57,2/21/2016 11:21:57
206,Famorca,famorca,3813,38.732845,-0.246043,2/21/2016 11:21:57,2/21/2016 11:21:57
207,Finestrat,finestrat,3509,38.569165,-0.210674,2/21/2016 11:21:57,2/21/2016 11:21:57
208,Fondó de les Neus,fondo-de-les-neus,3688,38.308825,-0.854799,2/21/2016 11:21:57,2/21/2016 11:21:57
209,Formentera del Segura,formentera-del-segura,3179,38.08636,-0.746419,2/21/2016 11:21:57,2/21/2016 11:21:57
210,Gaianes,gaianes,3840,38.810924,-0.408591,2/21/2016 11:21:57,2/21/2016 11:21:57
211,Gata de Gorgos,gata-de-gorgos,3740,38.775905,0.083908,2/21/2016 11:21:57,2/21/2016 11:21:57
212,Gorga,gorga,3811,38.7202,-0.356339,2/21/2016 11:21:57,2/21/2016 11:21:57
213,Granja de Rocamora,granja-de-rocamora,3348,38.153025,-0.890769,2/21/2016 11:21:57,2/21/2016 11:21:57
214,Guardamar del Segura,guardamar-del-segura,3140,38.08668,-0.654029,2/21/2016 11:21:57,2/21/2016 11:21:57
215,Hondón de los Frailes,hondon-de-los-frailes,3689,38.273605,-0.928159,2/21/2016 11:21:57,2/21/2016 11:21:57
216,Ibi,ibi,3440,38.620705,-0.578524,2/21/2016 11:21:57,2/21/2016 11:21:57
217,Jacarilla,jacarilla,3310,38.061555,-0.868149,2/21/2016 11:21:57,2/21/2016 11:21:57
218,Xaló,xalo,3727,38.742649,-0.01083,2/21/2016 11:21:57,2/21/2016 11:21:57
